Age,2024 Net Worth,Industry,Title,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,SelfMadeBinary
60.0,1000000000.0,10,381,1,,,262,12,1,1
71.0,1100000000.0,10,256,0,,,393,30,0,0
71.0,1500000000.0,13,196,1,,,249,69,1,1
58.0,1400000000.0,8,779,1,,,94,12,1,1
52.0,9400000000.0,16,149,1,,,548,12,1,1
71.0,1800000000.0,2,346,0,,,18,25,0,0
62.0,2400000000.0,3,673,1,,,274,54,1,1
51.0,1800000000.0,16,880,1,,,238,27,1,1
70.0,2800000000.0,2,292,0,,,450,25,1,0
41.0,11200000000.0,5,46,1,8.0,,514,69,1,1
59.0,1100000000.0,9,775,1,,,619,10,1,1
67.0,1400000000.0,10,927,1,,,209,12,1,1
77.0,2300000000.0,13,348,0,4.0,1.0,442,69,1,0
73.0,1700000000.0,5,802,1,,,610,10,1,1
67.0,6100000000.0,10,256,1,,,95,12,1,1
70.0,4800000000.0,14,162,1,8.0,,373,69,1,1
81.0,1400000000.0,4,910,1,,,327,9,1,1
58.0,1800000000.0,13,595,0,,,13,45,1,0
80.0,3500000000.0,6,639,1,,,486,24,1,1
68.0,3800000000.0,4,270,1,,,606,35,1,1
72.0,1100000000.0,8,337,0,,,527,9,1,0
31.0,2300000000.0,16,213,1,,,417,69,1,1
60.0,2300000000.0,10,808,1,,,238,27,1,1
71.0,4300000000.0,3,91,1,,,661,12,1,1
95.0,1500000000.0,11,775,1,,,318,69,1,1
53.0,1700000000.0,10,649,0,,,223,60,0,0
61.0,4300000000.0,7,166,1,8.0,,537,69,1,1
82.0,9600000000.0,2,304,1,,,381,68,1,1
55.0,2600000000.0,16,162,1,10.0,2.0,329,69,1,1
76.0,1800000000.0,3,382,1,,,667,12,1,1
88.0,7600000000.0,5,84,0,2.0,2.0,162,69,1,0
67.0,4000000000.0,10,585,0,,,283,21,1,0
81.0,3300000000.0,1,606,0,,,477,30,0,0
69.0,1500000000.0,8,680,1,,,127,57,1,1
66.0,3200000000.0,8,600,0,,,393,30,0,0
37.0,1000000000.0,16,256,1,,,514,10,1,1
80.0,2500000000.0,6,485,1,,,9,0,1,1
64.0,1600000000.0,13,406,1,,,215,12,1,1
74.0,6400000000.0,4,64,0,,,376,34,0,0
57.0,2500000000.0,2,817,0,,,450,22,0,0
81.0,3800000000.0,3,305,0,4.0,2.0,177,69,1,0
53.0,3900000000.0,16,635,1,,,215,12,1,1
57.0,2100000000.0,2,107,0,,,439,58,1,0
69.0,2500000000.0,2,826,0,,,552,55,1,0
