Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Xu Gang,60.0,$1B,Manufacturing,Chemicals,,,True,,,"Jiaozuo, China",China,M,,,"Bachelor of Science, Beijing University of Aeronautics and Astronautics"
Kalpana Parekh,71.0,$1.1B,Manufacturing,Adhesives,Founder,Pidilite Industries,False,,,"Mumbai, India",India,F,Married,2.0,
Itzhak Ezratti & family,71.0,$1.5B,Real Estate,Homebuilding,Cofounder,GL Homes,True,,,"Indian Creek, Florida",United States,M,,3.0,
Jin Lei,58.0,$1.4B,Healthcare,Pharmaceuticals,"founder , chairman",Beijing Balance Medical Technology,True,,,"Changchun, China",China,M,Married,,
Zhang Zhidong,52.0,$9.4B,Technology,Internet media,Co-Founder,Tencent Holdings,True,,,"Shenzhen, China",China,M,,,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology"
Marianna Latsis & family,71.0,$1.8B,Diversified,"Banking, shipping",Philanthropist,,False,,,"Athens, Greece",Greece,F,Divorced,2.0,
Airat Shaimiev,62.0,$2.4B,Energy,"Refinery, chemicals",co-owner,TAIF Group,True,,,"Kazan, Russia",Russia,M,,,"Master of Science in Engineering, Moscow Power Engineering Institute, Kazan"
Martin Lau,51.0,$1.8B,Technology,E-commerce,president,Chinese internet giant Tencent,True,,,"Hong Kong, Hong Kong",Hong Kong,M,,,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan"
Philip Niarchos,70.0,$2.8B,Diversified,Art collection,"Greek magnate, Co-president","shipping magnate Stavros Niarchos and Eugenia Livanos, Stavros Niarchos Foundation",False,,,"Paris, France",Greece,M,Married,4.0,
Brian Armstrong,41.0,$11.2B,Finance & Investments,Cryptocurrency,CEO,Coinbase,True,8.0,,"San Francisco, California",United States,M,,,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University"
Michael Andlauer,59.0,$1.1B,Logistics,"Logistics, sports",founder,ATS Healthcare,True,,,,Canada,M,,,
Chen Kaichen,,$1.4B,Manufacturing,Household chemicals,vice chairman,Guangzhou-headquartered Liby Group,True,,,"Guangzhou, China",China,M,,,
Donald Trump,77.0,$2.3B,Real Estate,Real estate,President,United States of America,False,4.0,1.0,"Palm Beach, Florida",United States,M,Married,5.0,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania"
V. Prem Watsa,73.0,$1.7B,Finance & Investments,"Insurance, investments","founder, chairman, chief executive, businessman",Fairfax Financial Holdings,True,,,"Toronto, Canada",Canada,M,Married,3.0,"Bachelor of Science, Indian Institute of Technology Madras, Master of Business Administration, University of Western Ontario"
Liang Wengen,67.0,$6.1B,Manufacturing,Construction equipment,Founder,Sany Heavy Industry,True,,,"Changsha, China",China,M,Married,1.0,"Bachelor of Arts/Science, Central South University"
Rakesh Gangwal,70.0,$4.8B,Service,Airline,Co-founder,IndiGo Airlines alongside Rahul Bhatia,True,8.0,,"Miami, Florida",United States,M,Married,1.0,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School"
Antonio Luiz Seabra,81.0,$1.4B,Fashion & Retail,Cosmetics,"shareholder, Founder",Brazilian cosmetics company Natura.,True,,,"London, United Kingdom",Brazil,M,Married,4.0,
Lesley Bamberger,58.0,$1.8B,Real Estate,Real estate,"businessman,owner",Kroonenberg Groep,False,,,"Amsterdam, Netherlands",Netherlands,M,,,
Paul-Heinz Wesjohann & family,80.0,$3.5B,Food & Beverage,Chicken processing,chairman and namesake,Germany-based PHW Group,True,,,"Rechterfeld, Germany",Germany,M,Married,4.0,
